Artist,Primary Artist 1,Primary Artist 2,Primary Artist 3,Primary Artist 4,Primary Artist 5,Primary Artist 6,Primary Artist 7,Primary Artist 8,Secondary Artist 1,Secondary Artist 2,Secondary Artist 3,Secondary Artist 4,Secondary Artist 5,Secondary Artist 6,Secondary Artist 7,Secondary Artist 8,Secondary Artist 9,Highlight Red
A$AP Ferg Featuring Nicki Minaj,ASAP Ferg,,,,,,,,Nicki Minaj,,,,,,,,,False
A$AP Rocky,ASAP Rocky,,,,,,,,,,,,,,,,,False
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",ASAP Rocky,,,,,,,,Drake,2 Chainz,Kendrick Lamar,,,,,,,False
A$AP Rocky Featuring J. Cole,ASAP Rocky,,,,,,,,J. Cole,,,,,,,,,False
A$AP Rocky Featuring Jessica Pratt,ASAP Rocky,,,,,,,,Jessica Pratt,,,,,,,,,False
A$AP Rocky Featuring Moby,ASAP Rocky,,,,,,,,Moby,,,,,,,,,False
A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,ASAP Rocky,,,,,,,,Rod Stewart,Miguel,Mark Ronson,,,,,,,False
A$AP Rocky Featuring ScHoolboy Q,ASAP Rocky,,,,,,,,ScHoolboy Q,,,,,,,,,False
A$AP Rocky Featuring Skepta,ASAP Rocky,,,,,,,,Skepta,,,,,,,,,False
A$AP Rocky Featuring Skrillex,ASAP Rocky,,,,,,,,Skrillex,,,,,,,,,False
A'me Lorain,A'me Lorain,,,,,,,,,,,,,,,,,False
A*Teens,A*Teens,,,,,,,,,,,,,,,,,False
A+,A,,,,,,,,,,,,,,,,,False
A-Trak + Milo & Otis Featuring Rich Kidz,A-Trak,Milo,Otis,,,,,,Rich Kidz,,,,,,,,,False
A.B. Skhy,A.B. Skhy,,,,,,,,,,,,,,,,,False
A.L.T. And The Lost Civilization,A.L.T. And The Lost Civilization,,,,,,,,,,,,,,,,,False
AB Logic,AB Logic,,,,,,,,,,,,,,,,,False
ABBA,ABBA,,,,,,,,,,,,,,,,,False
ABC,ABC,,,,,,,,,,,,,,,,,False
AC/DC,AC/DC,,,,,,,,,,,,,,,,,False
AFI,AFI,,,,,,,,,,,,,,,,,False
AJR,AJR,,,,,,,,,,,,,,,,,False
ATC,ATC,,,,,,,,,,,,,,,,,False
ATEEZ,ATEEZ,,,,,,,,,,,,,,,,,False
AWB,AWB,,,,,,,,,,,,,,,,,False
AWOLNATION,AWOLNATION,,,,,,,,,,,,,,,,,False
AZ,AZ,,,,,,,,,,,,,,,,,False
Aaliyah,Aaliyah,,,,,,,,,,,,,,,,,False
Aaliyah Featuring Timbaland,Aaliyah,,,,,,,,Timbaland,,,,,,,,,False
Aaron Carter,Aaron Carter,,,,,,,,,,,,,,,,,False
Aaron Hall,Aaron Hall,,,,,,,,,,,,,,,,,False
Aaron Lewis,Aaron Lewis,,,,,,,,,,,,,,,,,False
Aaron Lewis Featuring George Jones & Charlie Daniels,Aaron Lewis,,,,,,,,George Jones,Charlie Daniels,,,,,,,,False
Aaron Lewis Of Staind With Fred Durst,Aaron Lewis Of Staind,Fred Durst,,,,,,,,,,,,,,,,False
Aaron Lines,Aaron Lines,,,,,,,,,,,,,,,,,False
Aaron Neville,Aaron Neville,,,,,,,,,,,,,,,,,False
Aaron Tippin,Aaron Tippin,,,,,,,,,,,,,,,,,False
Abaco Dream,Abaco Dream,,,,,,,,,,,,,,,,,False
Abra Moore,Abra Moore,,,,,,,,,,,,,,,,,False
Abstrac',Abstrac',,,,,,,,,,,,,,,,,False
Ace,Ace,,,,,,,,,,,,,,,,,False
Ace Cannon,Ace Cannon,,,,,,,,,,,,,,,,,False
Ace Frehley,Ace Frehley,,,,,,,,,,,,,,,,,False
Ace Hood,Ace Hood,,,,,,,,,,,,,,,,,False
Ace Hood Featuring Chris Brown,Ace Hood,,,,,,,,Chris Brown,,,,,,,,,False
Ace Hood Featuring Future & Rick Ross,Ace Hood,,,,,,,,Future,Rick Ross,,,,,,,,False
Ace Hood Featuring Trey Songz,Ace Hood,,,,,,,,Trey Songz,,,,,,,,,False
